"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","105","PUT /pet updates an existing pet","OnePlus 9 - Edge","Fri Mar 28 22:39:27 UTC 2025","passed","Fri Mar 28 22:39:27 UTC 2025","","api/swagger.test.ts","",""
"","10234","DELETE /pet/{petId} deletes existing pet","chromium","Fri Mar 28 22:35:22 UTC 2025","passed","Fri Mar 28 22:35:33 UTC 2025","","api/swagger.test.ts","",""
"","380","POST /pet creates a new pet","iPhone 14 - Safari","Fri Mar 28 22:37:02 UTC 2025","passed","Fri Mar 28 22:37:03 UTC 2025","","api/swagger.test.ts","",""
"","430","PUT /pet updates an existing pet","firefox","Fri Mar 28 22:35:37 UTC 2025","passed","Fri Mar 28 22:35:37 UTC 2025","","api/swagger.test.ts","",""
"","11209","Failed test","chromium","Fri Mar 28 22:36:04 UTC 2025","failed","Fri Mar 28 22:36:15 UTC 2025","","Login.test.ts","",""
"","402","POST /pet creates a new pet","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:37:53 UTC 2025","passed","Fri Mar 28 22:37:54 UTC 2025","","api/swagger.test.ts","",""
"","23775","Failed test","webkit","Fri Mar 28 22:37:24 UTC 2025","failed","Fri Mar 28 22:37:48 UTC 2025","","Login.test.ts","",""
"","10525","DELETE /pet/{petId} deletes existing pet","webkit","Fri Mar 28 22:36:28 UTC 2025","passed","Fri Mar 28 22:36:38 UTC 2025","","api/swagger.test.ts","",""
"","15692","Failed test","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:38:58 UTC 2025","failed","Fri Mar 28 22:39:13 UTC 2025","","Login.test.ts","",""
"","99","GET /pet/{petId} returns valid pet","webkit","Fri Mar 28 22:36:16 UTC 2025","passed","Fri Mar 28 22:36:17 UTC 2025","","api/swagger.test.ts","",""
"","380","POST /pet creates a new pet","Pixel 7 - Chromium","Fri Mar 28 22:39:13 UTC 2025","passed","Fri Mar 28 22:39:13 UTC 2025","","api/swagger.test.ts","",""
"","12771","User can log in and see Deposit button","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:38:04 UTC 2025","passed","Fri Mar 28 22:38:17 UTC 2025","","Login.test.ts","",""
"","5191","DELETE /pet/{petId} deletes existing pet","firefox","Fri Mar 28 22:35:37 UTC 2025","passed","Fri Mar 28 22:35:43 UTC 2025","","api/swagger.test.ts","",""
"","24672","Failed test","iPhone 14 - Safari","Fri Mar 28 22:38:46 UTC 2025","failed","Fri Mar 28 22:39:11 UTC 2025","","Login.test.ts","",""
"","31307","User can log in and see Deposit button","iPhone 14 - Safari","Fri Mar 28 22:37:20 UTC 2025","passed","Fri Mar 28 22:37:51 UTC 2025","","Login.test.ts","",""
"","110","GET /pet/{petId} returns valid pet","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:37:54 UTC 2025","passed","Fri Mar 28 22:37:54 UTC 2025","","api/swagger.test.ts","",""
"","9776","Failed test","firefox","Fri Mar 28 22:36:25 UTC 2025","failed","Fri Mar 28 22:36:34 UTC 2025","","Login.test.ts","",""
"","10261","DELETE /pet/{petId} deletes existing pet","Pixel 7 - Chromium","Fri Mar 28 22:39:13 UTC 2025","passed","Fri Mar 28 22:39:24 UTC 2025","","api/swagger.test.ts","",""
"","373","POST /pet creates a new pet","OnePlus 9 - Edge","Fri Mar 28 22:39:26 UTC 2025","passed","Fri Mar 28 22:39:27 UTC 2025","","api/swagger.test.ts","",""
"","115","GET /pet/{petId} returns valid pet","OnePlus 9 - Edge","Fri Mar 28 22:39:27 UTC 2025","passed","Fri Mar 28 22:39:27 UTC 2025","","api/swagger.test.ts","",""
"","90","GET /pet/{petId} returns valid pet","iPhone 14 - Safari","Fri Mar 28 22:37:03 UTC 2025","passed","Fri Mar 28 22:37:03 UTC 2025","","api/swagger.test.ts","",""
"","92","PUT /pet updates an existing pet","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:37:54 UTC 2025","passed","Fri Mar 28 22:37:54 UTC 2025","","api/swagger.test.ts","",""
"","88","PUT /pet updates an existing pet","iPhone 14 - Safari","Fri Mar 28 22:37:03 UTC 2025","passed","Fri Mar 28 22:37:03 UTC 2025","","api/swagger.test.ts","",""
"","94","PUT /pet updates an existing pet","chromium","Fri Mar 28 22:35:22 UTC 2025","passed","Fri Mar 28 22:35:22 UTC 2025","","api/swagger.test.ts","",""
"","10275","User can log in and see Deposit button","Pixel 7 - Chromium","Fri Mar 28 22:39:15 UTC 2025","passed","Fri Mar 28 22:39:25 UTC 2025","","Login.test.ts","",""
"","25188","User can log in and see Deposit button","OnePlus 9 - Edge","Fri Mar 28 22:39:32 UTC 2025","passed","Fri Mar 28 22:39:57 UTC 2025","","Login.test.ts","",""
"","97","GET /pet/{petId} returns valid pet","Pixel 7 - Chromium","Fri Mar 28 22:39:13 UTC 2025","passed","Fri Mar 28 22:39:13 UTC 2025","","api/swagger.test.ts","",""
"","358","GET /pet/{petId} returns valid pet","chromium","Fri Mar 28 22:35:23 UTC 2025","passed","Fri Mar 28 22:35:23 UTC 2025","","api/swagger.test.ts","",""
"","18843","Failed test","Pixel 7 - Chromium","Fri Mar 28 22:39:53 UTC 2025","failed","Fri Mar 28 22:40:12 UTC 2025","","Login.test.ts","",""
"","10259","DELETE /pet/{petId} deletes existing pet","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:37:54 UTC 2025","passed","Fri Mar 28 22:38:04 UTC 2025","","api/swagger.test.ts","",""
"","393","GET /pet/{petId} returns valid pet","firefox","Fri Mar 28 22:35:36 UTC 2025","failed","Fri Mar 28 22:35:36 UTC 2025","","api/swagger.test.ts","",""
"","383","POST /pet creates a new pet","webkit","Fri Mar 28 22:36:16 UTC 2025","passed","Fri Mar 28 22:36:16 UTC 2025","","api/swagger.test.ts","",""
"","11699","User can log in and see Deposit button","firefox","Fri Mar 28 22:35:43 UTC 2025","passed","Fri Mar 28 22:35:54 UTC 2025","","Login.test.ts","",""
"","5523","DELETE /pet/{petId} deletes existing pet","iPhone 14 - Safari","Fri Mar 28 22:37:14 UTC 2025","passed","Fri Mar 28 22:37:20 UTC 2025","","api/swagger.test.ts","",""
"","376","POST /pet creates a new pet","chromium","Fri Mar 28 22:35:22 UTC 2025","passed","Fri Mar 28 22:35:22 UTC 2025","","api/swagger.test.ts","",""
"","12336","Failed test","OnePlus 9 - Edge","Fri Mar 28 22:40:40 UTC 2025","failed","Fri Mar 28 22:40:53 UTC 2025","","Login.test.ts","",""
"","8752","User can log in and see Deposit button","chromium","Fri Mar 28 22:35:23 UTC 2025","passed","Fri Mar 28 22:35:32 UTC 2025","","Login.test.ts","",""
"","5164","DELETE /pet/{petId} deletes existing pet","OnePlus 9 - Edge","Fri Mar 28 22:39:27 UTC 2025","passed","Fri Mar 28 22:39:32 UTC 2025","","api/swagger.test.ts","",""
"","414","POST /pet creates a new pet","firefox","Fri Mar 28 22:35:33 UTC 2025","passed","Fri Mar 28 22:35:34 UTC 2025","","api/swagger.test.ts","",""
"","88","PUT /pet updates an existing pet","Pixel 7 - Chromium","Fri Mar 28 22:39:13 UTC 2025","passed","Fri Mar 28 22:39:13 UTC 2025","","api/swagger.test.ts","",""
"","22868","User can log in and see Deposit button","webkit","Fri Mar 28 22:36:36 UTC 2025","passed","Fri Mar 28 22:36:59 UTC 2025","","Login.test.ts","",""
"","88","PUT /pet updates an existing pet","webkit","Fri Mar 28 22:36:17 UTC 2025","passed","Fri Mar 28 22:36:17 UTC 2025","","api/swagger.test.ts","",""
