"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13739","User can log in and see Deposit button","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:59:23 UTC 2025","passed","Fri Mar 28 22:59:37 UTC 2025","","Login.test.ts","",""
"","44","PUT /pet updates an existing pet","Samsung Galaxy S9+ - Firefox","Fri Mar 28 22:59:18 UTC 2025","passed","Fri Mar 28 22:59:18 UTC 2025","","api/swagger.test.ts","",""
"","13180","User can log in and see Deposit button","firefox","Fri Mar 28 22:57:14 UTC 2025","passed","Fri Mar 28 22:57:27 UTC 2025","","Login.test.ts","",""
"","223","POST /pet creates a new pet","webkit","Fri Mar 28 22:57:29 UTC 2025","passed","Fri Mar 28 22:57:29 UTC 2025","","api/swagger.test.ts","",""
"","168","POST /pet creates a new pet","firefox","Fri Mar 28 22:57:04 UTC 2025","passed","Fri Mar 28 22:57:04 UTC 2025","","api/swagger.test.ts","",""
"","58","GET /pet/{petId} returns valid pet","OnePlus 9 - Edge","Fri Mar 28 23:00:46 UTC 2025","passed","Fri Mar 28 23:00:46 UTC 2025","","api/swagger.test.ts","",""
"","33","PUT /pet updates an existing pet","firefox","Fri Mar 28 22:57:04 UTC 2025","passed","Fri Mar 28 22:57:04 UTC 2025","","api/swagger.test.ts","",""
"","19568","Failed test","Pixel 7 - Chromium","Fri Mar 28 23:01:16 UTC 2025","failed","Fri Mar 28 23:01:36 UTC 2025","","Login.test.ts","",""
"","5040","DELETE /pet/{petId} deletes existing pet","webkit","Fri Mar 28 22:57:29 UTC 2025","passed","Fri Mar 28 22:57:34 UTC 2025","","api/swagger.test.ts","",""
"","29","PUT /pet updates an existing pet","chromium","Fri Mar 28 22:56:42 UTC 2025","passed","Fri Mar 28 22:56:42 UTC 2025","","api/swagger.test.ts","",""
"","23","PUT /pet updates an existing pet","webkit","Fri Mar 28 22:57:29 UTC 2025","passed","Fri Mar 28 22:57:29 UTC 2025","","api/swagger.test.ts","",""
"","161","POST /pet creates a new pet","OnePlus 9 - Edge","Fri Mar 28 23:00:46 UTC 2025","passed","Fri Mar 28 23:00:46 UTC 2025","","api/swagger.test.ts","",""
"","264","POST /pet creates a new pet","Pixel 7 - Chromium","Fri Mar 28 23:00:35 UTC 2025","passed","Fri Mar 28 23:00:35 UTC 2025","","api/swagger.test.ts","",""
"","30","PUT /pet updates an existing pet","OnePlus 9 - Edge","Fri Mar 28 23:00:46 UTC 2025","passed","Fri Mar 28 23:00:46 UTC 2025","","api/swagger.test.ts","",""
"","174","POST /pet creates a new pet","chromium","Fri Mar 28 22:56:41 UTC 2025","passed","Fri Mar 28 22:56:42 UTC 2025","","api/swagger.test.ts","",""
"","10057","DELETE /pet/{petId} deletes existing pet","Pixel 7 - Chromium","Fri Mar 28 23:00:35 UTC 2025","passed","Fri Mar 28 23:00:45 UTC 2025","","api/swagger.test.ts","",""
"","12574","Failed test","chromium","Fri Mar 28 22:57:14 UTC 2025","failed","Fri Mar 28 22:57:27 UTC 2025","","Login.test.ts","",""
"","41","GET /pet/{petId} returns valid pet","webkit","Fri Mar 28 22:57:29 UTC 2025","passed","Fri Mar 28 22:57:29 UTC 2025","","api/swagger.test.ts","",""
"","16306","Failed test","Samsung Galaxy S9+ - Firefox","Fri Mar 28 23:00:16 UTC 2025","failed","Fri Mar 28 23:00:32 UTC 2025","","Login.test.ts","",""
