"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11092","Failed test","Pixel 7 - Chromium","Sun Mar 23 16:49:35 UTC 2025","failed","Sun Mar 23 16:49:46 UTC 2025","","Login.test.ts","",""
"","19636","Failed test","webkit","Sun Mar 23 16:48:10 UTC 2025","failed","Sun Mar 23 16:48:30 UTC 2025","","Login.test.ts","",""
"","11820","Failed test","Samsung Galaxy S9+ - Firefox","Sun Mar 23 16:49:15 UTC 2025","failed","Sun Mar 23 16:49:27 UTC 2025","","Login.test.ts","",""
"","18673","User can log in and see Deposit button","iPhone 14 - Safari","Sun Mar 23 16:47:26 UTC 2025","passed","Sun Mar 23 16:47:45 UTC 2025","","Login.test.ts","",""
"","10975","Failed test","OnePlus 9 - Edge","Sun Mar 23 16:50:16 UTC 2025","failed","Sun Mar 23 16:50:27 UTC 2025","","Login.test.ts","",""
"","19524","Failed test","iPhone 14 - Safari","Sun Mar 23 16:48:37 UTC 2025","failed","Sun Mar 23 16:48:56 UTC 2025","","Login.test.ts","",""
"","9177","User can log in and see Deposit button","Pixel 7 - Chromium","Sun Mar 23 16:48:58 UTC 2025","passed","Sun Mar 23 16:49:07 UTC 2025","","Login.test.ts","",""
"","10801","User can log in and see Deposit button","firefox","Sun Mar 23 16:46:30 UTC 2025","passed","Sun Mar 23 16:46:41 UTC 2025","","Login.test.ts","",""
"","14980","User can log in and see Deposit button","OnePlus 9 - Edge","Sun Mar 23 16:49:29 UTC 2025","passed","Sun Mar 23 16:49:44 UTC 2025","","Login.test.ts","",""
"","11216","User can log in and see Deposit button","Samsung Galaxy S9+ - Firefox","Sun Mar 23 16:48:31 UTC 2025","passed","Sun Mar 23 16:48:42 UTC 2025","","Login.test.ts","",""
"","23007","User can log in and see Deposit button","webkit","Sun Mar 23 16:47:01 UTC 2025","passed","Sun Mar 23 16:47:24 UTC 2025","","Login.test.ts","",""
"","9900","Failed test","chromium","Sun Mar 23 16:46:50 UTC 2025","failed","Sun Mar 23 16:47:00 UTC 2025","","Login.test.ts","",""
"","11511","Failed test","firefox","Sun Mar 23 16:47:10 UTC 2025","failed","Sun Mar 23 16:47:22 UTC 2025","","Login.test.ts","",""
"","8800","User can log in and see Deposit button","chromium","Sun Mar 23 16:46:21 UTC 2025","passed","Sun Mar 23 16:46:29 UTC 2025","","Login.test.ts","",""
